Marca temporal,Choose your language,Nickname,Age,Sex,Music education received,"How much previous practice and training does the performer need for performing with the instrument, when compared to a traditional musical instrument?",How much control does the performer have on the musical output? ,"How much real-time feedback (e.g., visual, auditory) does the user receive from the system? ",How tiring is it to play music with this system when compared to musical instruments? ,Is it hard to play in tempo with the system when compared to musical instruments? ,Which approach between the rhythmic accompaniament and the note accompaniament do you consider more user-friendly?,What degree of synchronization do you find between gesture and sound?
5/07/2023 19:16:53,English,adithi,22,Female,Yes,2,3,3,2,2,2,4
5/07/2023 19:29:08,Spanish,alberto,26,Masculino,Yes,1,3,4,1,4,2,2
5/07/2023 19:44:09,English,thomas,26,Male,No,3,1,3,2,5,1,3
5/07/2023 19:55:03,English,abishek,26,Male,Yes,3,3,4,3,2,1,2
5/07/2023 20:09:27,English,dilip,28,Male,Yes,3,1,2,3,5,1,2
6/07/2023 12:57:58,Spanish,Gon MT,30,Masculino,Yes,2,2,5,1,4,1,3
8/07/2023 0:30:35,Spanish,Marti,21,Masculino,Yes,2,2,5,1,2,1,4
11/07/2023 13:31:07,Spanish,María,28,Femenino,Yes,1,2,3,2,5,1,3
11/07/2023 22:06:31,Spanish,Marta,23,Femenino,No,3,2,3,1,4,1,4
11/07/2023 22:11:20,Spanish,Montse,24,Femenino,No,2,3,4,3,4,1,3
12/07/2023 15:50:26,Spanish,Corcu,24,Masculino,No,2,1,3,4,4,1,3
12/07/2023 15:50:29,Spanish,María Pérez ,22,Femenino,Yes,1,2,3,2,3,1,4
