@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute outputs-1 {0,1,2}

@data
1,'2023/05/29 15:34:54:838',1,0.55449,0.621902,0.554591,0.674125,0.50413,0.596749,0.636108,0.717239,0.508539,0.531821,0.757522,0.735879,0.636288,0.446075,0.870745,0.777345,0.756025,0.529164,0.72814,0.677026,0.727485,0.677606,0.716197,0.488202,0.669905,0.413948,0.669026,0.542883,0.782962,0.419303,0.835128,0.479374,0.743751,0.438783,?
2,'2023/05/29 15:34:54:952',1,0.55449,0.621902,0.554591,0.674125,0.50413,0.596749,0.636108,0.717239,0.508539,0.531821,0.757522,0.735879,0.636288,0.446075,0.870745,0.777345,0.756025,0.529164,0.72814,0.677026,0.727485,0.677606,0.716197,0.488202,0.669905,0.413948,0.669026,0.542883,0.782962,0.419303,0.835128,0.479374,0.743751,0.438783,?
3,'2023/05/29 15:34:55:074',1,0.56605,0.634239,0.568217,0.691347,0.512803,0.610949,0.658542,0.726051,0.516175,0.551821,0.776445,0.737893,0.652427,0.441128,0.865301,0.804031,0.758398,0.522108,0.720455,0.690817,0.71625,0.67979,0.790773,0.439098,0.735297,0.330533,0.723818,0.54408,0.659132,0.421768,0.748883,0.450241,0.74545,0.446585,?
4,'2023/05/29 15:34:55:183',1,0.569925,0.638117,0.57281,0.690553,0.523707,0.618198,0.658617,0.725708,0.52512,0.541219,0.793334,0.756868,0.679139,0.402168,0.873186,0.799088,0.759223,0.456034,0.734086,0.695122,0.76705,0.477111,0.803601,0.437091,0.79625,0.289444,0.743311,0.563134,0.855472,0.253626,0.813455,0.466397,0.839835,0.263171,?
5,'2023/05/29 15:34:55:278',1,0.580804,0.630948,0.572133,0.675153,0.520962,0.608833,0.670311,0.708391,0.517021,0.534159,0.780841,0.707094,0.645193,0.409115,0.868637,0.780722,0.758083,0.479772,0.728426,0.674588,0.717645,0.662739,0.785834,0.414696,0.733112,0.28717,0.705542,0.543838,0.6556,0.406454,0.830942,0.496082,0.811446,0.335255,?
6,'2023/05/29 15:34:55:392',1,0.565981,0.63057,0.570628,0.676582,0.519107,0.615524,0.675474,0.711105,0.515867,0.547317,0.783871,0.713407,0.638487,0.430969,0.866869,0.7813,0.734093,0.525458,0.728823,0.685725,0.740482,0.593241,0.759089,0.444574,0.64853,0.415046,0.754103,0.53599,0.787776,0.400533,0.762718,0.431969,0.747765,0.428222,?
7,'2023/05/29 15:34:55:511',1,0.563995,0.638807,0.577904,0.688661,0.511219,0.617839,0.668304,0.714851,0.508268,0.561036,0.779284,0.701769,0.632624,0.46596,0.867941,0.764329,0.750331,0.565187,0.725375,0.688336,0.610175,0.753442,0.776569,0.41856,0.710816,0.331104,0.740425,0.541722,0.636663,0.430552,0.74826,0.436138,0.820545,0.35459,?
8,'2023/05/29 15:34:55:624',1,0.579202,0.651691,0.581198,0.692953,0.51516,0.62737,0.658175,0.71853,0.509277,0.567606,0.779678,0.708182,0.634583,0.460986,0.85719,0.781316,0.737031,0.528354,0.732064,0.689863,0.726101,0.67883,0.79164,0.43745,0.728516,0.325135,0.676492,0.535004,0.632597,0.42693,0.748157,0.435369,0.790866,0.40035,?
9,'2023/05/29 15:34:55:749',1,0.575509,0.651725,0.58532,0.699294,0.527145,0.635853,0.670616,0.720134,0.515961,0.572018,0.769998,0.701561,0.635457,0.467843,0.859015,0.780024,0.700759,0.544379,0.734878,0.687375,0.727181,0.676559,0.772693,0.441617,0.704641,0.354979,0.64577,0.531344,0.639198,0.436729,0.790434,0.480782,0.777878,0.403896,?
10,'2023/05/29 15:34:55:862',1,0.581158,0.635878,0.581095,0.688212,0.526289,0.619768,0.672498,0.719292,0.518078,0.553978,0.798223,0.732777,0.657295,0.441754,0.85901,0.797327,0.760275,0.501468,0.732354,0.687232,0.730822,0.645551,0.823804,0.435562,0.771791,0.304685,0.696901,0.525752,0.794922,0.390296,0.762599,0.442968,0.778857,0.405124,?
11,'2023/05/29 15:34:55:985',1,0.580696,0.623695,0.587149,0.674926,0.526094,0.610262,0.687731,0.709107,0.517453,0.557509,0.796555,0.698519,0.646551,0.419809,0.85677,0.796884,0.735977,0.532095,0.731252,0.695885,0.74409,0.590985,0.841965,0.440926,0.773901,0.320659,0.767874,0.530153,0.806052,0.390988,0.762642,0.430147,0.823429,0.325533,?
12,'2023/05/29 15:34:56:111',1,0.584141,0.608209,0.572914,0.662848,0.51672,0.583028,0.672142,0.711847,0.522304,0.535365,0.798147,0.733354,0.677958,0.451788,0.855478,0.816653,0.775826,0.535264,0.756559,0.693263,0.694313,0.685837,0.809934,0.465546,0.755347,0.352618,0.690729,0.526114,0.796602,0.405094,0.770692,0.430194,0.764807,0.428833,?
13,'2023/05/29 15:34:56:232',1,0.584141,0.608209,0.572914,0.662848,0.51672,0.583028,0.672142,0.711847,0.522304,0.535365,0.798147,0.733354,0.677958,0.451788,0.855478,0.816653,0.775826,0.535264,0.756559,0.693263,0.694313,0.685837,0.809934,0.465546,0.755347,0.352618,0.690729,0.526114,0.796602,0.405094,0.770692,0.430194,0.764807,0.428833,?
14,'2023/05/29 15:34:56:345',1,0.581302,0.601734,0.564978,0.659638,0.519524,0.569172,0.641545,0.709406,0.530579,0.511429,0.794994,0.737055,0.670837,0.421528,0.853137,0.823097,0.783534,0.438668,0.784116,0.427336,0.723743,0.612724,0.810564,0.438239,0.769087,0.383002,0.720642,0.560058,0.67268,0.405146,0.810773,0.454657,0.785913,0.409482,?
15,'2023/05/29 15:34:56:458',1,0.56834,0.596198,0.562849,0.657499,0.514431,0.563286,0.654012,0.70735,0.532607,0.510256,0.797527,0.755378,0.689819,0.412177,0.85841,0.843246,0.795158,0.419702,0.774959,0.6621,0.722508,0.615358,0.836098,0.518614,0.769757,0.382975,0.69913,0.56405,0.79413,0.394959,0.810972,0.490097,0.782237,0.410112,?
16,'2023/05/29 15:34:56:573',1,0.587342,0.60275,0.571197,0.658562,0.528001,0.567815,0.650766,0.709433,0.5361,0.511719,0.797635,0.765053,0.682378,0.419658,0.855676,0.823422,0.796278,0.423679,0.775311,0.644175,0.779686,0.414961,0.737513,0.526796,0.725794,0.401539,0.694903,0.583081,0.668656,0.409437,0.793957,0.447639,0.782662,0.408075,?
17,'2023/05/29 15:34:56:690',1,0.586467,0.604186,0.571276,0.661074,0.520529,0.569651,0.650609,0.710386,0.530577,0.51025,0.797108,0.745196,0.664463,0.420584,0.855019,0.817493,0.786361,0.429031,0.777305,0.639757,0.724249,0.599635,0.738604,0.507732,0.725423,0.399857,0.692162,0.568916,0.666559,0.412001,0.789063,0.437573,0.778269,0.418736,?
18,'2023/05/29 15:34:56:802',1,0.590735,0.609676,0.573685,0.665231,0.531939,0.578267,0.651187,0.716134,0.532915,0.511744,0.783374,0.749189,0.6702,0.419814,0.857582,0.815039,0.792743,0.424234,0.752563,0.67206,0.725993,0.601767,0.747709,0.506646,0.723635,0.399432,0.653656,0.565226,0.673005,0.413293,0.776553,0.428818,0.768981,0.422153,?
19,'2023/05/29 15:34:56:910',1,0.58847,0.608412,0.568814,0.664379,0.528825,0.577925,0.630126,0.713387,0.534034,0.513005,0.794862,0.754338,0.674605,0.406635,0.855642,0.816652,0.802846,0.420999,0.760988,0.616451,0.710303,0.614567,0.79364,0.501735,0.753221,0.319475,0.697838,0.566895,0.808039,0.386793,0.813034,0.456469,0.788277,0.405155,?
20,'2023/05/29 15:34:57:016',1,0.590888,0.610259,0.573497,0.667692,0.529824,0.5782,0.654542,0.709475,0.534721,0.504575,0.800084,0.768483,0.689796,0.398181,0.858344,0.821045,0.820156,0.386992,0.831019,0.635056,0.75973,0.590199,0.811433,0.52503,0.773632,0.332703,0.682608,0.593397,0.804345,0.382921,0.802095,0.500469,0.786426,0.404685,?
21,'2023/05/29 15:34:57:124',1,0.592324,0.607423,0.575574,0.663786,0.532965,0.576753,0.649736,0.711218,0.532528,0.51006,0.795228,0.765354,0.673306,0.408443,0.843792,0.813378,0.800876,0.408355,0.809182,0.637399,0.783049,0.409419,0.755953,0.509742,0.745685,0.394086,0.673462,0.571123,0.674511,0.406878,0.790321,0.436623,0.783905,0.405003,?
22,'2023/05/29 15:34:57:227',1,0.594323,0.609103,0.577382,0.665963,0.533957,0.578353,0.652931,0.707682,0.529854,0.51118,0.797551,0.754436,0.672335,0.408499,0.849892,0.819157,0.806167,0.407108,0.808381,0.635448,0.744938,0.598012,0.778563,0.507523,0.750786,0.391595,0.676653,0.582499,0.807807,0.388821,0.808622,0.454909,0.785868,0.406709,?
23,'2023/05/29 15:34:57:331',1,0.591538,0.607332,0.573188,0.663728,0.52931,0.571756,0.65439,0.711283,0.534586,0.506515,0.799411,0.755284,0.687685,0.410261,0.856139,0.820101,0.817449,0.401498,0.8332,0.635907,0.744588,0.597922,0.794385,0.525702,0.766303,0.387222,0.677602,0.584625,0.79459,0.390789,0.794045,0.435036,0.78599,0.406146,?
24,'2023/05/29 15:34:57:430',1,0.595677,0.606086,0.573339,0.660794,0.531135,0.572786,0.639994,0.711761,0.537202,0.504637,0.80138,0.769337,0.692156,0.397903,0.856189,0.817436,0.82352,0.389715,0.830711,0.632982,0.785913,0.406521,0.756803,0.53002,0.746516,0.386858,0.67916,0.599472,0.802359,0.379912,0.787327,0.420867,0.779172,0.407278,?
25,'2023/05/29 15:34:57:545',1,0.598032,0.606431,0.577517,0.664094,0.534574,0.572955,0.641349,0.711485,0.537441,0.506211,0.800032,0.767005,0.693535,0.399174,0.846168,0.831238,0.816566,0.391738,0.805418,0.636097,0.743037,0.597834,0.79766,0.506638,0.732957,0.295939,0.69671,0.602901,0.805161,0.379974,0.812789,0.454329,0.78695,0.404006,?
26,'2023/05/29 15:34:57:659',1,0.593613,0.60793,0.571385,0.662892,0.528132,0.573424,0.639974,0.711374,0.536206,0.504521,0.800112,0.769573,0.691148,0.400077,0.849012,0.837923,0.816099,0.389912,0.805547,0.638272,0.744501,0.57939,0.780059,0.531931,0.750849,0.388157,0.679061,0.599847,0.804248,0.386308,0.814003,0.457263,0.784399,0.405367,?
27,'2023/05/29 15:34:57:771',1,0.595939,0.607002,0.576653,0.662677,0.533366,0.573098,0.65021,0.710641,0.536717,0.505635,0.796589,0.772045,0.685198,0.402473,0.847555,0.822549,0.819681,0.395102,0.832548,0.638987,0.786122,0.411858,0.803968,0.549557,0.741564,0.395108,0.676951,0.598391,0.675793,0.405809,0.794185,0.438738,0.777569,0.410832,?
28,'2023/05/29 15:34:57:893',1,0.596794,0.609071,0.575969,0.664989,0.534111,0.575127,0.649187,0.713035,0.538355,0.506559,0.797964,0.769186,0.688477,0.40098,0.856867,0.820686,0.819918,0.390694,0.803881,0.638263,0.744346,0.575647,0.730726,0.52563,0.707292,0.393462,0.677813,0.584237,0.80319,0.390333,0.788855,0.44026,0.779493,0.418542,?
29,'2023/05/29 15:34:58:004',1,0.593931,0.612525,0.574821,0.666441,0.533976,0.57709,0.649604,0.714842,0.538504,0.507267,0.795469,0.769778,0.68483,0.407254,0.848938,0.818529,0.813554,0.408078,0.804653,0.63528,0.743806,0.596417,0.734215,0.546296,0.706552,0.415022,0.677493,0.600173,0.67538,0.411652,0.785312,0.444379,0.774119,0.426198,?
